uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink,769 - Cult of the Dead,771 - General Character of Religion,772 - Cosmology,773 - Mythology,774 - Animism,775 - Eschatology,776 - Spirits and Gods,777 - Luck and Chance,778 - Sacred Objects and Places,779 - Theological Systems,787 - Revelation and Divination,match_flag
3f44cf11-ffd1-47fe-a7f4-980f42ba6e98,"Pag̩s, G.","A Hamitic kingdom in the center of Africa: in Ruanda on the
         shores of Lake Kivu (Belgian Congo)",1933,131,"Component part(s), monograph",Rwandans,Africa,Central Africa,agro-pastoralists,,"754,787",https://ehrafworldcultures.yale.edu/sres/3f44cf11-ffd1-47fe-a7f4-980f42ba6e98,0,0,0,0,0,0,0,0,0,0,1,False
68061a72-fc00-4155-9466-89950636e381,"Pilz, Annemarie","Manang Jabing Anak Incham: a study of an Iban
         healer/Sarawak",1988,114,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"756,787",https://ehrafworldcultures.yale.edu/sres/68061a72-fc00-4155-9466-89950636e381,0,0,0,0,0,0,0,0,0,0,1,False
abf2e059-6b25-40a8-9f79-62b2bdaff820,"Winstedt, Richard, 1878-1966","The Malay magician: being shaman, Saiva and Sufi",1961,23,Monograph,Malays,Asia,Southeast Asia,intensive agriculturalists,,"171,241,753,775,776,000,000",https://ehrafworldcultures.yale.edu/sres/abf2e059-6b25-40a8-9f79-62b2bdaff820,0,0,0,0,0,1,1,0,1,0,0,False
05a36e97-7ff4-4521-92f5-6087f0b6575b,"Dieterlen, Germaine",The souls of the Dogons,1941,206,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"769,778,782",https://ehrafworldcultures.yale.edu/sres/05a36e97-7ff4-4521-92f5-6087f0b6575b,1,0,0,0,0,0,0,0,1,0,0,False
ac951635-7f8f-42f7-963a-65556a3c1b7b,"Leighton, Dorothea Cross, 1908-","People of the middle place: a study of the Zuni
         Indians",1963,75,Manuscript,Zuni,North America,Southwest and Basin,intensive agriculturalists,,"342,776,793",https://ehrafworldcultures.yale.edu/sres/ac951635-7f8f-42f7-963a-65556a3c1b7b,0,0,0,0,0,0,1,0,0,0,0,False
d4d1a3f4-326e-4717-a443-c91ef687573d,"Rongmuthu, Dewansingh Shangma",The folk-tales of the Garos,1960,176,Monograph,Garo,Asia,South Asia,horticulturalists,,"103,276,539,773,823,000",https://ehrafworldcultures.yale.edu/sres/d4d1a3f4-326e-4717-a443-c91ef687573d,0,0,0,1,0,0,0,0,0,0,0,False
3c1bda78-c845-4ca5-8db3-c7744af272ef,"Grimble, Arthur, 1888-1956","Tungaru traditions: writings on the atoll culture of the
            Gilbert Islands",1989,22,Monograph,Kiribati,Oceania,Micronesia,primarily hunter-gatherers,,"593,769,782",https://ehrafworldcultures.yale.edu/sres/3c1bda78-c845-4ca5-8db3-c7744af272ef,1,0,0,0,0,0,0,0,0,0,0,False
440e7291-4f7e-4635-ad70-74acfecffd90,"Beckwith, Martha Warren, 1871-1959",Hawaiian mythology,1970,371,Monograph,Hawaiians,Oceania,Polynesia,other subsistence combinations,,773,https://ehrafworldcultures.yale.edu/sres/440e7291-4f7e-4635-ad70-74acfecffd90,0,0,0,1,0,0,0,0,0,0,0,False
8b3ab94e-f416-4488-a833-a7952a55495e,"Jones, Livingston French, 1865-1928",A study of the Thlingets of Alaska,1914,235,Monograph,Tlingit,North America,Northwest Coast and California,hunter-gatherers,,776,https://ehrafworldcultures.yale.edu/sres/8b3ab94e-f416-4488-a833-a7952a55495e,0,0,0,0,0,0,1,0,0,0,0,False
1cfa2ebd-4f2f-46be-86ea-debd9605647e,"Skoggard, Ian A., 1953-",Culture summary: Zia Pueblo,2004,8,Essay,Zia Pueblo,North America,Southwest and Basin,intensive agriculturalists,,"575,764,775,794",https://ehrafworldcultures.yale.edu/sres/1cfa2ebd-4f2f-46be-86ea-debd9605647e,0,0,0,0,0,1,0,0,0,0,0,False
